2016/06/14 10:52:36 [error] 936#936: *13 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "POST /api/v1/auth/register HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/auth/register", host: "example.com", referrer: "http://example.com/register?next=%252Fdiscover"
2016/06/14 10:54:13 [error] 936#936: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_activity_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_activity_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:54:13 [error] 936#936: *22 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&is_featured=true HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&is_featured=true", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:54:13 [error] 936#936: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_fans_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_fans_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:54:13 [error] 936#936: *23 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/stats/discover HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/stats/discover", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:07 [error] 936#936: *22 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/stats/discover HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/stats/discover", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:07 [error] 936#936: *22 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_fans_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_fans_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:07 [error] 936#936: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_activity_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_activity_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:07 [error] 936#936: *22 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&is_featured=true HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&is_featured=true", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:14 [error] 937#937: *34 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/stats/discover HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/stats/discover", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:14 [error] 937#937: *34 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_fans_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_fans_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:14 [error] 936#936: *23 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_activity_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_activity_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:14 [error] 937#937: *34 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&is_featured=true HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&is_featured=true", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:19 [error] 936#936: *23 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/stats/discover HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/stats/discover", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:19 [error] 937#937: *34 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_fans_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_fans_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:19 [error] 936#936: *23 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_activity_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_activity_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:19 [error] 936#936: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&is_featured=true HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&is_featured=true", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:23 [error] 936#936: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/stats/discover HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/stats/discover", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:23 [error] 936#936: *23 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_fans_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_fans_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:23 [error] 936#936: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&order_by=-total_activity_last_week HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&order_by=-total_activity_last_week", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:55:23 [error] 937#937: *34 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/projects?discover_mode=true&is_featured=true HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/projects?discover_mode=true&is_featured=true", host: "example.com", referrer: "http://example.com/discover"
2016/06/14 10:56:26 [error] 5036#5036: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "GET /api/v1/stats/discover HTTP/1.1", upstream: "http://127.0.0.1:8001/api/v1/stats/discover", host: "example.com", referrer: "http://example.com/discover"
